Sample_ID	DNA_concentration	k__Bacteria	k__Archaea	k__Eukaryota	unclassified	bac_frac	Sample_type	log_copies_per_extraction	Plate	alpha
P01A01	24.16	78.47143068244236	0	0	21.52857	0.9541785385186724	next_day	9.31706715275901	P01	2.7330353712079085
P01B01	42.51	74.3143926632156	0	0	25.68561	0.9455547738827962	next_day	9.68451744081932	P01	1.886554660705131
P01C01	10.44	85.96385960648198	1.4235674021995242	0	12.61257	0.8889180439114869	next_day	8.357928121203944	P01	3.6294935194931353
P01D01	15.73	86.20424248544866	2.2600957599266733	0	11.53566	0.9140667686770184	next_day	8.857805138713033	P01	3.5364656184364733
P01E01	43.72	86.8827191321075	1.632711373389138	0	11.48457	0.913772994272954	next_day	9.209602133645372	P01	3.5948256949334194
P01F01	27.57	92.47901535731778	0	0	7.52098	0.91263912201576	same_day	9.305661681899062	P01	1.2639667973298647
P01G01	1.79	79.61262575671297	0.0381049095507405	0	20.34927	0.8678181548270074	same_day	7.76912765391479	P01	1.433235007984302
P01H01	2.85	87.08407597278871	0	0	12.91592	0.9382320453443384	same_day	7.272023520698169	P01	2.742343329282376
P01A02	12.69	88.42569880424273	0.4417422761222784	0	11.13256	0.948667207511392	same_day	8.718208153130567	P01	3.4181321800131204
P01B02	19.85	85.64985489251544	2.296210197248165	0	12.05393	0.9183135170243792	same_day	8.840362124699796	P01	3.587577021226253
P01C02	73.99	95.68546827277352	0.0779130870743722	0	4.23662	0.9618940090320452	same_day	9.872047069891735	P01	2.92414280572576
P01D02	18.02	92.90659732496518	0.0274434222326475	0	7.06596	0.9311902106946046	same_day	8.762557729241756	P01	2.3127122445872303
P01E02	144.77	94.52473612301452	0.0415808095552509	0	5.43368	0.9667569690673634	same_day	9.891189812057751	P01	3.4890170134179983
P01F02	175.97	91.31819398474704	0	0	8.68181	0.9608068994192532	next_day	10.188471870980967	P01	2.8985352405021225
P01G02	91.35	92.19421402505488	0	0	7.80579	0.9291243722985748	next_day	9.861409312894857	P01	3.101469492039482
P01H02	77.37	92.33455305036628	0	0	7.66545	0.8446907289899248	next_day	9.771219858895298	P01	3.20533485292413
P01A03	74.74	80.48276434221624	0	0	19.51724	0.9259614992916096	next_day	9.808713087535397	P01	3.166771769365527
P01B03	113.47	89.22540293483651	0	0	10.7746	0.9236584447224788	next_day	9.898690829769537	P01	2.3759270852702774
P01C03	11.82	92.31887775895476	0	0	7.68112	0.9072921628071948	next_day	8.576461962743313	P01	3.5073170541355188
P01D03	108.94	89.87657339405474	0	0	10.12343	0.9612871368622646	next_day	9.897053970850529	P01	3.3887230130040273
P01E03	26.76	73.71118264273801	0	0	26.28882	0.9497252753063395	next_day	9.46586486491915	P01	2.693126799330854
P01F03	205.44	93.56605508739226	0	0	6.43394	0.9444005897981832	next_day	10.181891474798178	P01	3.237809057836478
